table,column,type,format
med_table,PatientDurableKey,character,
med_table,MedicationOrderKey,character,
med_table,ExposureLabel,character,
med_table,SimpleGenericName,character,
med_table,TherapeuticClass,character,
med_table,PharmaceuticalClass,character,
med_table,PharmaceuticalSubclass,character,
med_table,Strength,character,
med_table,Form,character,
med_table,DoseUnit,character,
med_table,MedicationStartDate,date,%Y-%m-%d
med_table,MedicationEndDate,date,%Y-%m-%d
med_table,RefillsWritten,integer,
med_table,DaysSupply,integer,
med_table,Frequency,character,
med_table,Route,character,
med_table,Class,character,
med_table,Mode,character,
med_table,Type,character,
med_table,DiscontinueReason,character,
diag_table,PatientDurableKey,character,
diag_table,Diagnosis,character,
diag_table,FirstDiagnosisDate,date,%Y-%m-%d
mdd_data,PatientDurableKey,character,
mdd_data,MDD_Index,date,%Y-%m-%d
mdd_data,meets_diagnosis_eligibility_criteria,logical,
mdd_data,First_Patient_Record,date,%Y-%m-%d %H:%M:%S
mdd_data,Last_Patient_Record,date,%Y-%m-%d %H:%M:%S
mdd_data,EHRLengthYrs,double,
mdd_data,TotalEncounters,integer,
mdd_data,AvgYearlyEncounters,double,
mdd_data,TotalOutpatientEncounters,integer,
mdd_data,AvgYearlyOutpatientEncounters,double,
mdd_data,TotalPatientPsychVisits,integer,
mdd_data,AvgYearlyPatientPsychVisits,double,
mdd_data,T2DM_with_Complications_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Bariatric_Surgery_FirstDiagnosis,date,%Y-%m-%d
mdd_data,ADHD_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Agoraphobia_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Anxiety_Disorder_NOS_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Generalized_Anxiety_FirstDiagnosis,date,%Y-%m-%d
mdd_data,OCD_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Panic_Disorder_FirstDiagnosis,date,%Y-%m-%d
mdd_data,PTSD_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Social_Anxiety_Disorder_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Alcohol_Abuse_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Alcohol_Dependence_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Cannabis_Abuse_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Cannabis_Dependence_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Cocaine_Abuse_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Cocaine_Dependence_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Opioid_Abuse_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Opioid_Dependence_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Sedative_Abuse_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Sedative_Dependence_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Tobacco_Use_Disorder_FirstDiagnosis,date,%Y-%m-%d
mdd_data,Diseases_of_the_Arteries_Artrioles_and_Capillaries_FirstDiagnosis,date,%Y-%m-%d
mdd_data,BirthDate,date,%Y-%m-%d
mdd_data,PatientSex,character,
mdd_data,FirstRace,character,
mdd_data,SecondRace,character,
mdd_data,ThirdRace,character,
mdd_data,FourthRace,character,
mdd_data,FifthRace,character,
mdd_data,MultiRacial,logical,
mdd_data,Ethnicity,character,
treatment_overlap_table,PatientDurableKey,character,
treatment_overlap_table,DPP4i_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,Insulins_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,Metformin_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,SU_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,TZD_Overlaps_Semaglutide_Index,logical,
treatment_overlap_table,DPP4i_Overlaps_Insulins_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_Insulins_Index,logical,
treatment_overlap_table,Metformin_Overlaps_Insulins_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_Insulins_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_Insulins_Index,logical,
treatment_overlap_table,SU_Overlaps_Insulins_Index,logical,
treatment_overlap_table,TZD_Overlaps_Insulins_Index,logical,
treatment_overlap_table,DPP4i_Overlaps_Metformin_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_Metformin_Index,logical,
treatment_overlap_table,Insulins_Overlaps_Metformin_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_Metformin_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_Metformin_Index,logical,
treatment_overlap_table,SU_Overlaps_Metformin_Index,logical,
treatment_overlap_table,TZD_Overlaps_Metformin_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,Insulins_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,Metformin_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,SU_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,TZD_Overlaps_DPP4i_Index,logical,
treatment_overlap_table,DPP4i_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,Insulins_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,Metformin_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,SU_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,TZD_Overlaps_SGLT2i_Index,logical,
treatment_overlap_table,DPP4i_Overlaps_SU_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_SU_Index,logical,
treatment_overlap_table,Insulins_Overlaps_SU_Index,logical,
treatment_overlap_table,Metformin_Overlaps_SU_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_SU_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_SU_Index,logical,
treatment_overlap_table,TZD_Overlaps_SU_Index,logical,
treatment_overlap_table,DPP4i_Overlaps_TZD_Index,logical,
treatment_overlap_table,GLP1RA_Overlaps_TZD_Index,logical,
treatment_overlap_table,Insulins_Overlaps_TZD_Index,logical,
treatment_overlap_table,Metformin_Overlaps_TZD_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_TZD_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_TZD_Index,logical,
treatment_overlap_table,SU_Overlaps_TZD_Index,logical,
treatment_overlap_table,DPP4i_Overlaps_GLP1RA_Index,logical,
treatment_overlap_table,Insulins_Overlaps_GLP1RA_Index,logical,
treatment_overlap_table,Metformin_Overlaps_GLP1RA_Index,logical,
treatment_overlap_table,Semaglutide_Overlaps_GLP1RA_Index,logical,
treatment_overlap_table,SGLT2i_Overlaps_GLP1RA_Index,logical,
treatment_overlap_table,SU_Overlaps_GLP1RA_Index,logical,
treatment_overlap_table,TZD_Overlaps_GLP1RA_Index,logical,
dte_cohort_data,PatientDurableKey,character,
dte_cohort_data,Semaglutide_PreIndexEncounterCount,integer,
dte_cohort_data,Semaglutide_PostIndexEncounterCount,integer,
dte_cohort_data,Insulins_PreIndexEncounterCount,integer,
dte_cohort_data,Insulins_PostIndexEncounterCount,integer,
dte_cohort_data,DPP4i_PreIndexEncounterCount,integer,
dte_cohort_data,DPP4i_PostIndexEncounterCount,integer,
dte_cohort_data,GLP1RA_PreIndexEncounterCount,integer,
dte_cohort_data,GLP1RA_PostIndexEncounterCount,integer,
dte_cohort_data,Metformin_PreIndexEncounterCount,integer,
dte_cohort_data,Metformin_PostIndexEncounterCount,integer,
dte_cohort_data,TZD_PreIndexEncounterCount,integer,
